battle_id,prompt_category,model_a,model_b,winner,battle_timestamp
1,Coding,gpt-4o,claude-3-5-sonnet,model_a,2026-01-15 10:23:45
2,Reasoning,llama-3-1-405b,gemini-1-5-pro,model_b,2026-01-16 14:45:12
3,Creative,mistral-large,deepseek-v3,tie,2026-01-17 09:12:33
4,Roleplay,gpt-4o-mini,llama-3-70b,model_b,2026-01-18 16:55:01
5,Coding,claude-3-opus,gpt-4o,model_a,2026-01-20 11:30:22
6,Reasoning,gemini-1-5-flash,claude-3-5-sonnet,model_a,2026-01-22 08:45:59
7,Creative,deepseek-v3,llama-3-1-70b,model_b,2026-01-25 13:20:10
8,Roleplay,mixtral-8x22b,gpt-5,tie,2026-02-01 17:05:44
9,Coding,gpt-5,claude-3-7-sonnet,model_a,2026-02-05 10:15:30
10,Reasoning,gemini-2-0-pro,llama-4-405b,model_b,2026-02-10 14:50:22
11,Coding,phi-3-medium,qwen-2-72b,model_a,2026-02-12 09:40:15
12,Creative,gemma-2-27b,mistral-large,model_b,2026-02-15 12:25:48
13,Roleplay,deepseek-r1,claude-3-opus,tie,2026-02-18 15:10:05
14,Coding,gpt-4o,gemini-1-5-pro,model_a,2026-02-20 11:05:37
15,Reasoning,llama-3-1-405b,claude-3-5-sonnet,model_b,2026-02-25 08:30:19
16,Creative,gpt-4o-mini,deepseek-v3,model_a,2026-03-01 16:45:52
17,Roleplay,claude-3-7-sonnet,llama-3-70b,model_a,2026-03-05 13:55:28
18,Coding,mistral-large,gpt-5,model_b,2026-03-10 10:20:41
19,Reasoning,gemini-1-5-flash,gemini-2-0-pro,tie,2026-03-15 14:10:33
20,Coding,deepseek-r1,llama-4-405b,model_a,2026-03-20 09:50:17
21,Creative,claude-3-5-sonnet,gpt-4o,model_b,2026-03-25 17:25:09
22,Roleplay,llama-3-1-70b,phi-3-medium,model_a,2026-04-01 12:40:55
23,Coding,gpt-5,deepseek-v3,model_a,2026-04-05 11:15:28
24,Reasoning,claude-3-opus,mistral-large,model_b,2026-04-10 15:30:42
25,Creative,gemini-1-5-pro,llama-3-1-405b,tie,2026-04-15 08:55:11
26,Roleplay,gpt-4o,claude-3-7-sonnet,model_a,2026-04-20 14:20:37
27,Coding,gemini-2-0-pro,deepseek-r1,model_b,2026-04-25 10:05:49
28,Reasoning,llama-4-405b,gpt-4o-mini,model_a,2026-05-01 16:35:22
29,Creative,qwen-2-72b,gemma-2-27b,model_b,2026-05-05 13:10:58
30,Roleplay,mixtral-8x22b,claude-3-5-sonnet,tie,2026-05-10 09:40:14
31,Coding,gpt-4o,llama-3-1-405b,model_a,2026-05-15 12:25:31
32,Reasoning,claude-3-5-sonnet,gemini-1-5-pro,model_b,2026-05-20 15:50:07
33,Creative,deepseek-v3,gpt-5,model_a,2026-05-25 11:05:43
34,Roleplay,llama-3-70b,claude-3-opus,model_b,2026-06-01 14:30:19
35,Coding,mistral-large,gemini-2-0-pro,tie,2026-06-05 10:15:52
36,Reasoning,phi-3-medium,deepseek-r1,model_a,2026-06-10 17:40:28
37,Creative,gemma-2-27b,llama-4-405b,model_b,2026-06-15 08:55:41
38,Roleplay,gpt-4o-mini,claude-3-7-sonnet,model_a,2026-06-20 13:20:33
39,Coding,gemini-1-5-flash,qwen-2-72b,model_b,2026-06-25 09:45:17
40,Reasoning,gpt-5,llama-3-1-70b,model_a,2026-07-01 16:10:59
